height,weight,chest,waist,hip,thigh,calf,arm,shoulder
166.7,70.8,99.8,89.4,98.3,57.3,37.9,32.0,39.5
165.6,58.8,94.6,74.5,90.1,53.7,34.1,31.1,37.9
172.9,65.6,97.2,83.8,90.7,53.6,33.5,31.7,38.0
168.5,70.4,99.3,88.5,99.8,59.1,38.2,31.8,36.1
160.2,50.1,81.8,71.8,92.2,50.0,33.1,26.0,33.5
164.2,52.2,83.9,71.1,89.4,53.0,34.8,26.3,34.9
158.9,54.1,86.7,73.7,92.8,56.9,34.3,29.2,33.2
153.1,56.4,90.2,81.6,90.9,59.2,34.5,31.3,33.7
153.8,51.2,87.5,77.0,91.3,52.0,33.6,30.1,35.5
163.2,49.0,80.3,70.8,85.0,48.2,34.0,26.2,35.7
165.1,56.5,87.2,79.9,92.3,53.3,33.4,28.3,35.0
174.5,52.7,84.2,68.4,91.8,50.5,32.7,26.8,37.4
153.2,52.8,87.6,80.8,92.0,54.0,34.5,28.1,34.4
158.4,61.0,90.7,86.3,100.0,57.5,35.0,30.5,36.3
158.1,43.9,82.5,65.4,83.2,47.8,32.1,25.0,33.5
171.5,73.3,101.5,89.4,99.8,60.6,40.7,32.0,40.2
164.6,52.1,88.8,72.3,87.0,50.3,36.9,28.8,37.1
175.7,77.0,104.5,85.4,100.4,58.7,38.7,35.0,41.0
174.4,82.5,103.5,97.2,99.3,61.0,39.7,36.2,40.0
169.8,84.2,109.9,96.9,102.0,63.7,41.7,36.8,40.0
166.9,59.8,90.0,75.1,88.8,49.7,35.7,31.9,39.4
173.1,74.5,104.9,86.2,96.4,57.1,37.0,33.5,38.7
171.3,69.0,101.4,78.1,94.2,53.2,38.2,33.1,38.8
156.5,58.4,92.1,84.2,95.4,56.2,35.6,31.4,35.7
167.2,73.8,101.7,89.2,103.6,62.2,38.2,33.3,38.7
157.8,49.4,83.1,69.8,88.3,53.8,33.0,28.0,34.4
156.1,47.0,81.9,68.0,86.9,52.6,35.1,26.6,35.7
163.1,48.9,83.5,64.1,87.4,51.5,33.7,27.0,34.7
161.2,59.7,90.8,79.1,95.4,57.8,35.8,33.0,35.2
161.7,71.0,95.3,84.8,103.9,66.5,38.7,34.8,37.1
166.9,83.3,98.5,88.6,107.2,69.5,43.4,38.1,38.8
162.8,60.2,91.3,77.2,92.5,57.2,37.4,30.0,35.7
159.6,57.5,89.9,74.9,96.8,59.7,33.7,30.5,36.1
163.9,53.9,83.2,67.1,92.8,54.1,35.0,28.5,38.2
169.0,67.2,92.1,83.6,99.8,58.1,38.2,32.0,36.7
153.0,45.3,80.0,63.2,86.5,51.6,34.4,26.2,35.6
170.9,57.6,90.4,76.7,92.0,53.4,34.2,29.6,39.0
159.1,58.8,85.4,74.5,99.3,59.5,38.0,29.8,35.7
168.5,69.2,89.6,81.8,102.1,61.9,38.5,34.0,34.9
161.7,66.0,94.5,81.4,98.3,56.8,37.6,32.1,39.4
169.9,53.6,82.4,63.2,89.3,54.1,36.5,27.2,37.5
157.6,50.6,85.5,67.7,87.9,48.8,34.0,28.3,34.9
167.7,73.7,96.9,87.4,102.1,63.0,28.8,38.4,40.7
158.6,58.8,93.1,81.2,92.0,54.7,35.6,32.9,36.2
162.2,61.6,91.5,71.1,95.5,59.1,37.0,31.5,35.3
156.5,45.2,79.4,64.9,82.7,46.5,32.8,26.5,34.9
159.1,51.9,88.0,74.2,90.3,51.7,30.7,27.9,35.8
164.8,49.3,83.9,64.0,89.2,53.7,32.7,26.4,36.1
165.7,58.8,87.1,71.6,93.0,54.5,37.0,29.1,35.7
166.0,60.4,89.5,68.0,95.0,59.5,35.3,31.0,37.0
160.6,53.5,82.5,69.2,91.8,53.4,35.0,30.0,35.4
154.0,50.5,82.6,70.3,91.5,54.9,36.8,28.2,32.8
155.5,50.5,82.9,67.2,89.0,52.1,35.1,30.6,35.1
169.3,65.2,88.8,74.9,100.8,58.6,37.5,31.3,36.8
163.8,67.2,89.1,80.8,101.3,60.0,39.0,30.7,36.0
160.8,53.4,84.8,65.8,94.0,55.6,35.0,29.1,36.3
162.5,51.1,78.5,67.0,92.0,52.7,34.0,26.0,33.7
153.5,45.4,82.3,62.0,88.5,53.6,33.4,26.5,34.5
161.0,51.4,83.1,68.9,90.8,53.8,33.5,30.0,34.2
160.5,48.6,79.2,64.0,88.3,54.1,32.8,26.5,34.3
154.6,49.3,81.8,67.8,91.5,53.3,33.0,29.0,36.1
156.4,45.1,81.3,66.0,86.0,49.8,30.8,27.5,35.2
158.5,47.4,84.5,70.1,85.5,50.5,31.2,28.1,34.5
160.0,60.6,88.7,76.1,101.3,63.0,36.3,32.0,34.3
154.0,64.4,94.6,88.3,99.8,62.5,36.7,33.7,36.6
177.0,69.0,88.2,73.8,99.7,59.2,42.0,29.0,39.2
162.7,55.4,87.7,73.5,86.5,47.2,35.8,29.5,34.1
159.2,48.4,82.4,66.8,88.8,51.2,33.2,27.5,33.2
165.9,60.4,90.6,74.6,96.5,54.4,36.2,30.0,38.8
153.6,47.6,80.6,68.4,87.9,50.2,35.1,26.0,35.0
170.4,62.7,97.0,77.5,92.9,53.8,35.6,32.9,40.1
164.0,66.2,99.7,85.2,96.0,56.8,36.9,32.3,38.5
172.8,64.5,97.6,81.5,90.2,52.7,34.0,31.4,36.8
172.2,83.8,106.1,91.1,102.0,63.2,41.5,37.8,41.2
175.7,74.8,98.8,86.6,96.5,57.0,38.5,32.1,41.6
178.8,75.2,101.1,77.4,95.8,59.5,40.1,32.0,40.5
170.0,64.8,95.0,72.2,92.8,54.5,39.8,33.8,38.6
175.2,72.4,105.9,81.2,94.4,56.5,40.0,34.5,41.1
173.6,77.3,100.3,81.2,100.8,61.9,39.8,36.1,41.9
176.4,84.4,101.5,89.9,102.2,64.3,41.5,35.3,39.5
177.5,74.9,96.5,89.5,99.2,61.5,40.5,32.0,40.6
173.4,78.0,102.9,88.7,100.5,60.0,39.5,34.2,39.5
177.1,72.2,100.4,79.8,97.1,56.4,37.9,33.5,41.6
172.0,64.1,93.4,77.0,93.5,53.5,36.0,32.0,38.9
178.1,80.3,105.2,88.0,102.9,60.6,39.9,34.3,41.4
175.1,68.1,94.8,77.4,93.5,54.3,37.2,31.8,39.7
166.4,70.8,96.4,82.1,97.3,61.0,40.1,30.8,38.5
169.1,77.6,101.2,87.9,99.3,60.6,41.0,34.5,38.4
179.0,74.5,100.3,84.0,97.2,56.1,37.8,35.4,39.6
172.0,68.8,99.0,83.3,91.6,55.0,39.4,32.6,40.2
183.7,94.2,109.8,96.0,103.9,65.1,42.3,33.9,39.6
172.5,85.7,104.4,83.7,105.8,65.6,44.0,36.0,39.7
183.0,77.0,101.7,78.3,96.4,56.6,38.6,34.9,43.6
178.6,54.2,86.5,70.5,85.4,47.5,32.6,25.5,39.5
184.1,89.6,111.2,87.6,101.3,61.2,41.5,37.2,40.9
172.7,63.7,94.7,77.7,92.4,54.7,36.5,30.5,40.8
168.4,61.3,96.5,79.0,89.6,53.2,34.0,30.5,38.0
162.1,57.0,89.7,73.2,91.7,55.5,35.2,29.7,35.8
161.1,48.4,85.1,71.5,88.4,49.8,32.0,30.0,37.4
160.0,55.7,84.4,73.6,95.0,58.7,35.2,31.3,35.3
159.9,47.3,82.2,62.9,87.5,48.7,34.6,27.1,37.1
163.7,44.9,77.4,63.2,82.6,47.7,32.6,25.3,35.3
